fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2012-01-03,2017-01-04,2017-01-12,2018-01-11,2018-01-22,2019-01-22,5,5,1260,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.5046483683278522,0.2606729251017524,6,0.24268860132954811,0.3574247629380697,0.011414565169454827,-0.06119635505139165,78,15.931106027614145,0.021120030326389427,0.011414565169454827
2,2012-01-03,2018-01-04,2018-01-12,2019-01-14,2019-01-23,2020-01-22,5,5,1512,252,252,0.7,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.4820686070686071,0.2629878312101831,6,0.006396661365715648,0.008183970486519462,-5.7922832488177534e-05,-0.012062587494237276,18,4.061795098817022,0.0023788736825334222,-5.7922832488177534e-05
3,2012-01-03,2019-01-07,2019-01-15,2020-01-14,2020-01-23,2021-01-21,5,5,1764,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.4683209796970674,0.2852729880833446,6,1.0847561972979591,1.658849707292754,0.049063212894724595,-0.024828484135435702,44,8.579730854503566,0.05447666564991027,0.049063212894724595
4,2012-01-03,2020-01-07,2020-01-15,2021-01-13,2021-01-22,2022-01-20,5,5,2016,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.4869337422528912,0.2567881084599645,6,1.9501993370054405,3.5097809305522545,0.07652564999984324,-0.01636456913680051,34,11.3405480956183,0.08387160115279468,0.07652564999984324
5,2012-01-03,2021-01-06,2021-01-14,2022-01-12,2022-01-21,2023-01-23,5,5,2268,252,252,0.7,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.4761571273954288,0.27418148337781306,6,0.7699340191840285,1.1425471869700121,0.03294163771540837,-0.04404143015228912,45,6.64432124062546,0.03705958128317355,0.03294163771540837
6,2012-01-03,2022-01-05,2022-01-13,2023-01-13,2023-01-24,2024-01-24,5,5,2520,252,252,0.7,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.5172215108834828,0.24831547128305928,6,-0.9939447663326992,-1.2281409778843353,-0.03574868705828049,-0.047779529008047494,28,8.592005784053628,-0.030761183367766676,-0.03574868705828049
7,2012-01-03,2023-01-06,2023-01-17,2024-01-17,2024-01-25,2025-01-27,5,5,2772,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.5045937316739428,0.2471135141382965,6,-0.46255147591660484,-0.6048100990956121,-0.016654243987740625,-0.033529134136229155,27,10.087919765316453,-0.010687005999151844,-0.016654243987740625
