fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2010-01-04,2015-01-05,2015-01-13,2016-01-12,2016-01-21,2017-01-19,5,5,1260,252,252,0.5,"overnight_ret_1d,overnight_ret_5d,overnight_ret_20d,intraday_ret_1d,intraday_ret_5d,overnight_vol_ratio,gap_size,overnight_skew,vix_regime,intraday_fill_ratio,overnight_ret_20d_lag1,overnight_ret_5d_lag1,intraday_ret_5d_lag1",logistic,0.5114416475972541,0.2491556406868838,1,1.5442818704477963,2.295467271584658,0.027366612034863014,-0.008547654493912371,3,0.44999999999999996,0.02787527972895454,0.027366612034863014
2,2010-01-04,2016-01-05,2016-01-13,2017-01-11,2017-01-20,2018-01-19,5,5,1512,252,252,0.5,"overnight_ret_1d,overnight_ret_5d,overnight_ret_20d,intraday_ret_1d,intraday_ret_5d,overnight_vol_ratio,gap_size,overnight_skew,vix_regime,intraday_fill_ratio,overnight_ret_20d_lag1,overnight_ret_5d_lag1,intraday_ret_5d_lag1",logistic,0.5343051506316814,0.2444140274639649,1,3.4117294172081083,5.550093730599887,0.035688467789836364,-0.003927429671376159,2,0.3,0.03603035880244376,0.035688467789836364
3,2010-01-04,2017-01-04,2017-01-12,2018-01-11,2018-01-22,2019-01-22,5,5,1764,252,252,0.5,"overnight_ret_1d,overnight_ret_5d,overnight_ret_20d,intraday_ret_1d,intraday_ret_5d,overnight_vol_ratio,gap_size,overnight_skew,vix_regime,intraday_fill_ratio,overnight_ret_20d_lag1,overnight_ret_5d_lag1,intraday_ret_5d_lag1",logistic,0.4815330129015938,0.2504073033283624,1,-0.2660644189551666,-0.3554627099388501,-0.0069101537755819065,-0.032231655203686316,16,2.4,-0.004285978614002595,-0.0069101537755819065
4,2010-01-04,2018-01-04,2018-01-12,2019-01-14,2019-01-23,2020-01-22,5,5,2016,252,252,0.5,"overnight_ret_1d,overnight_ret_5d,overnight_ret_20d,intraday_ret_1d,intraday_ret_5d,overnight_vol_ratio,gap_size,overnight_skew,vix_regime,intraday_fill_ratio,overnight_ret_20d_lag1,overnight_ret_5d_lag1,intraday_ret_5d_lag1",logistic,0.47115384615384615,0.24530181036565785,1,2.1228171244985616,3.017369790598616,0.03764562330670351,-0.01141778512302194,4,0.6,0.038330592102620464,0.03764562330670351
5,2010-01-04,2019-01-07,2019-01-15,2020-01-14,2020-01-23,2021-01-21,5,5,2268,252,252,0.5,"overnight_ret_1d,overnight_ret_5d,overnight_ret_20d,intraday_ret_1d,intraday_ret_5d,overnight_vol_ratio,gap_size,overnight_skew,vix_regime,intraday_fill_ratio,overnight_ret_20d_lag1,overnight_ret_5d_lag1,intraday_ret_5d_lag1",logistic,0.5278762487914921,0.24933528006410552,1,0.7597218004396756,1.0331269021194003,0.03194038744024619,-0.03859546717007323,60,6.2789689372880435,0.03909778453861712,0.03194038744024619
