symbol
AA
AAL
AAP
AAPL
ABBV
ABT
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AFG
AFL
AKAM
ALB
ALGN
ALL
ALLY
AMAT
AMCX
AMD
AME
AMG
AMGN
AMZN
AON
APA
APD
APTV
ARE
AVGO
AXP
AZN
BA
BAC
BALL
BAX
BBD
BBW
BBY
BDX
BEN
BEP
BG
BIIB
BLK
BMY
BNS
BP
BR
BSX
BWA
BX
C
CAG
CAH
CAT
CB
CCI
CCL
CNC
CNP
COF
COO
COP
COST
COTY
CPB
CRM
CSCO
CSX
CTA
CVS
CVX
CX
CZR
D
DAL
DE
DG
DLTR
DOV
DPZ
DRI
DTE
DUK
DVA
DVN
DXCM
EBAY
ECL
ED
EFX
EIX
EL
EMR
EOG
EPAM
ERIE
ES
ETN
ETR
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FCX
FDX
FE
FFIV
FIS
FITB
FSLR
FTNT
GD
GE
GEN
GILD
GL
GLW
GM
GNR
GOOG
GOOGL
GRMN
GS
GWW
HAL
HBAN
HCA
HIG
HLT
HON
HRL
HST
HSY
HUM
IBM
IDXX
ILMN
INTC
INTU
ISRG
ITW
IVZ
JBL
JCI
JNJ
JPM
KDP
KEY
KMB
KMI
KMX
KO
KR
KSS
LH
LHX
LIN
LLY
LMT
LRCX
LYB
LYV
MA
MAR
MCO
MDLZ
MET
META
MMM
MPC
MRK
MRNA
MTD
MU
NDSN
NEE
NEM
NFLX
NI
NKE
NNN
NOC
NRG
NSC
NTAP
NTRS
NUE
NVDA
NXPI
O
ODFL
ORCL
ORLY
PCAR
PEG
PFE
PG
PGR
PLD
PLTR
PNC
PNR
PNW
PPG
PPL
PRU
PSA
PSX
PTON
PVH
PWR
QCOM
RCL
REG
RIG
RJF
ROK
ROL
ROP
ROST
RRC
RYAN
SBUX
SHW
SJM
SLB
SNA
SO
STLD
STNG
STT
SWK
SYF
SYK
SYY
T
TFC
TGT
TMO
TPR
TROW
TSLA
TSN
TTWO
TXN
TYL
UAL
UDR
ULTA
USB
UTHR
UVV
V
VMC
VNO
VRSK
VRSN
VRTX
VZ
WAT
WBD
WDC
WEC
WELL
WFC
WMB
WMT
WY
XEL
XOM
XYL
YUM
ZBH
ZTS
