fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2020-01-02,2020-06-23,2020-06-26,2020-08-21,2020-08-26,2020-10-21,2,2,120,40,40,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.42424242424242425,0.40990100437706073,2,,,0.0,0.0,0,0.0,0.0,0.0
2,2020-01-02,2020-08-19,2020-08-24,2020-10-19,2020-10-22,2020-12-17,2,2,160,40,40,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.6591478696741855,0.23541919745716652,2,0.752275367855977,1.1390864249386925,0.045399981387841404,-0.015911704480391253,19,7.003575617336745,0.011318180169050951,0.007072443141197038
3,2020-01-02,2020-10-15,2020-10-20,2020-12-15,2020-12-18,2021-02-17,2,2,200,40,40,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5093333333333333,0.526246644228703,2,2.1529545793618095,6.389972876224997,0.10013392727421677,-0.00784746588884333,5,1.1925324474385433,0.015990759373066377,0.015263235832797317
4,2020-01-02,2020-12-11,2020-12-16,2021-02-12,2021-02-18,2021-04-15,2,2,240,40,40,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5137844611528822,0.31113026285288964,2,,,0.0,0.0,0,0.0,0.0,0.0
5,2020-01-02,2021-02-10,2021-02-16,2021-04-13,2021-04-16,2021-06-11,2,2,280,40,40,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.565,0.3181501427955449,2,1.5341355140573902,2.6294717404029724,0.14728415549541207,-0.03440577683085677,39,1.5021025601505378,0.022967060928222205,0.02204869171376167
6,2020-01-02,2021-04-09,2021-04-14,2021-06-09,2021-06-14,2021-08-09,2,2,320,40,40,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5498721227621484,0.26846885933361603,2,2.0391188751387848,12.072486117468575,0.014112964560808239,-0.00046326635910132197,2,0.7739320182302946,0.0026925747790189636,0.002226968695048015
7,2020-01-02,2021-06-07,2021-06-10,2021-08-05,2021-08-10,2021-10-05,2,2,360,40,40,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.510989010989011,0.29359907088704873,2,4.57767874949141,9.044286425353693,0.3892772148108776,-0.021585277771851152,25,1.6686910473933791,0.05462752746956401,0.05357366575446232
8,2020-01-02,2021-08-03,2021-08-06,2021-10-01,2021-10-06,2021-12-01,2,2,400,40,40,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.6616541353383458,0.2658009089436015,2,,,0.0,0.0,0,0.0,0.0,0.0
