fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2020-01-02,2020-06-23,2020-06-26,2020-08-21,2020-08-26,2020-10-21,2,2,120,40,40,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.42424242424242425,0.40990100437706073,2,,,0.0,0.0,0,0.0,0.0,0.0
2,2020-01-02,2020-08-19,2020-08-24,2020-10-19,2020-10-22,2020-12-17,2,2,160,40,40,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.6591478696741855,0.23541919745716652,2,-0.03312142906583185,-0.04210376129064322,-0.005728683635344178,-0.03104978665870939,26,9.921238907147586,0.005061436910750006,-0.0009115137602315748
3,2020-01-02,2020-10-15,2020-10-20,2020-12-15,2020-12-18,2021-02-17,2,2,200,40,40,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5093333333333333,0.526246644228703,2,0.6067377207885802,0.9189757149752315,0.016913231822353714,-0.008036668489872723,10,1.6884128274882026,0.0036802820052561636,0.002665736559828158
4,2020-01-02,2020-12-11,2020-12-16,2021-02-12,2021-02-18,2021-04-15,2,2,240,40,40,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5137844611528822,0.31113026285288964,2,,,0.0,0.0,0,0.0,0.0,0.0
5,2020-01-02,2021-02-10,2021-02-16,2021-04-13,2021-04-16,2021-06-11,2,2,280,40,40,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.565,0.3181501427955449,2,2.2968633996240446,4.074724900094309,0.2127895629989014,-0.03440577683085644,34,1.3848043536666392,0.03195431831926743,0.031096417481865757
6,2020-01-02,2021-04-09,2021-04-14,2021-06-09,2021-06-14,2021-08-09,2,2,320,40,40,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5498721227621484,0.26846885933361603,2,-3.1983315323532313,-3.2910306434499743,-0.17569098653612258,-0.032805908991669464,7,0.9115761362324154,-0.02967165435805752,-0.03020272357564291
7,2020-01-02,2021-06-07,2021-06-10,2021-08-05,2021-08-10,2021-10-05,2,2,360,40,40,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.510989010989011,0.29359907088704873,2,3.153284242313107,5.617826063087999,0.2458312267877576,-0.021585277771851374,24,1.6333980128712484,0.0365189190391666,0.03550513272282596
8,2020-01-02,2021-08-03,2021-08-06,2021-10-01,2021-10-06,2021-12-01,2,2,400,40,40,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.6616541353383458,0.2658009089436015,2,,,0.0,0.0,0,0.0,0.0,0.0
