fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2012-01-03,2017-01-04,2017-01-12,2018-01-11,2018-01-22,2019-01-22,5,5,1260,252,252,0.55,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.5039210726030863,0.2593582162072868,7,-0.9019086005966439,-1.1156090643946426,-0.07316984108003999,-0.12745747582822808,108,25.650678929576888,-0.05879479961166223,-0.07316984108003999
2,2012-01-03,2018-01-04,2018-01-12,2019-01-14,2019-01-23,2020-01-22,5,5,1512,252,252,0.7,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.47037422037422033,0.265027523071515,7,,,0.0,0.0,0,0.0,0.0,0.0
3,2012-01-03,2019-01-07,2019-01-15,2020-01-14,2020-01-23,2021-01-21,5,5,1764,252,252,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.45246535610699323,0.30873278062958615,7,0.9403336624449901,1.3166519387139315,0.06629596134909499,-0.04202919764087043,104,16.934370122389108,0.07718539683164605,0.06629596134909499
4,2012-01-03,2020-01-07,2020-01-15,2021-01-13,2021-01-22,2022-01-20,5,5,2016,252,252,0.75,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.5556194492364706,0.24739416715741064,7,1.2259927117979068,2.793836561590447,0.023257074353662865,-0.009268549697539985,11,4.013911947172655,0.02571521893498785,0.023257074353662865
5,2012-01-03,2021-01-06,2021-01-14,2022-01-12,2022-01-21,2023-01-23,5,5,2268,252,252,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.4660660851849494,0.2785177875498989,7,-0.2537378789580403,-0.35038617456752186,-0.02262196885675749,-0.08252356240992331,151,18.024627317489546,-0.011988912393013473,-0.02262196885675749
6,2012-01-03,2022-01-05,2022-01-13,2023-01-13,2023-01-24,2024-01-24,5,5,2520,252,252,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.48040973111395646,0.24962720401272712,7,0.7848326322150819,1.239911969519179,0.04210925260774534,-0.032766472025851257,104,30.318404336770335,0.06123250807091196,0.04210925260774534
7,2012-01-03,2023-01-06,2023-01-17,2024-01-17,2024-01-25,2025-01-27,5,5,2772,252,252,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.5421580764970353,0.24000084831538063,7,1.1820090765795126,1.6864102777942331,0.07546646046829775,-0.0382419192698874,85,22.538738985027912,0.09009538289148122,0.07546646046829775
