fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2012-01-03,2017-01-04,2017-01-12,2018-01-11,2018-01-22,2019-01-22,5,5,1260,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.4947192006071338,0.2627337402635144,6,-0.5458698257380777,-0.6795355935244881,-0.03862706591411125,-0.07936587792423277,80,16.101589390950743,-0.02930066537255771,-0.03862706591411125
2,2012-01-03,2018-01-04,2018-01-12,2019-01-14,2019-01-23,2020-01-22,5,5,1512,252,252,0.75,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.4775857588357588,0.26311780148632674,6,0.006407306489584963,0.008197666266646484,-5.7722246238123276e-05,-0.012062524284916054,18,4.0618176771023,0.002379088083986236,-5.7722246238123276e-05
3,2012-01-03,2019-01-07,2019-01-15,2020-01-14,2020-01-23,2021-01-21,5,5,1764,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.47315501127940707,0.28815049548368693,6,1.0847560896959612,1.6588470801679713,0.04906319726739494,-0.02482869357097406,44,8.579758133563494,0.05447666757385683,0.04906319726739494
4,2012-01-03,2020-01-07,2020-01-15,2021-01-13,2021-01-22,2022-01-20,5,5,2016,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.48939364896811705,0.25680113155567125,6,1.950210099308766,3.5098132666382806,0.07652573951865804,-0.016364516185620404,34,11.340522547039566,0.08387167483416302,0.07652573951865804
5,2012-01-03,2021-01-06,2021-01-14,2022-01-12,2022-01-21,2023-01-23,5,5,2268,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.4711911886420067,0.27515512769292133,6,-0.6685736104479969,-0.8818837922296412,-0.04376856951024599,-0.09938737086886729,95,15.114772395320845,-0.03507470590054007,-0.04376856951024599
6,2012-01-03,2022-01-05,2022-01-13,2023-01-13,2023-01-24,2024-01-24,5,5,2520,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.5132522407170295,0.24829963863602475,6,0.2358230494279225,0.3437171045351357,0.008622226407124067,-0.035214337609082325,42,12.942079962377438,0.016484378262071164,0.008622226407124067
7,2012-01-03,2023-01-06,2023-01-17,2024-01-17,2024-01-25,2025-01-27,5,5,2772,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.5045937316739428,0.2471135141382965,6,-0.4625496457014817,-0.6048076516745782,-0.01665421528420219,-0.033528934799703314,27,10.087916213715596,-0.010686979273433317,-0.01665421528420219
