fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2010-01-04,2011-12-30,2012-01-10,2012-07-10,2012-07-18,2014-07-21,5,5,504,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,0.04854012745743012,0.06912453721528454,,-0.024465319112045414,103,27.109063736419678,0.023874309713044273,0.0019049130734416497
2,2010-01-04,2014-01-03,2014-01-13,2014-07-14,2014-07-22,2016-07-20,5,5,1008,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,-0.41885932997921765,-0.5840929133945303,,-0.06108964577500309,104,30.06578072882015,-0.008911341298367126,-0.032474932025975956
3,2010-01-04,2016-01-05,2016-01-13,2016-07-13,2016-07-21,2018-07-20,5,5,1512,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,0.5762600910132035,0.8479502975823435,,-0.040287723242629636,104,30.26142322750255,0.055679336007637525,0.03042431656222444
4,2010-01-04,2018-01-04,2018-01-12,2018-07-13,2018-07-23,2020-07-22,5,5,2016,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,-1.3870340313643241,-1.7942057283838588,,-0.13619722032133774,101,30.128909969842372,-0.09580982337319777,-0.11734545173182809
5,2010-01-04,2020-01-07,2020-01-15,2020-07-15,2020-07-23,2022-07-22,5,5,2520,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,0.7504096906635891,1.0856435501857407,,-0.03071485326803769,105,31.27994325978959,0.096931328432174,0.06982319052572716
