fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2010-01-04,2011-12-30,2012-01-10,2012-07-10,2012-07-18,2014-07-21,5,5,504,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,-0.13888570058464939,-0.1922116114548633,,-0.03385926122161109,103,28.38072185031971,0.013440838480898831,-0.009315666673290646
2,2010-01-04,2014-01-03,2014-01-13,2014-07-14,2014-07-22,2016-07-20,5,5,1008,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,-0.24415014064967638,-0.3364904259252251,,-0.0795710187498111,104,30.14738135330751,-0.000864671887052415,-0.024680317982784028
3,2010-01-04,2016-01-05,2016-01-13,2016-07-13,2016-07-21,2018-07-20,5,5,1512,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,0.6684212857987769,0.996982068172556,,-0.04934889919683838,104,33.17090162440415,0.0705457382742114,0.042501918425529084
4,2010-01-04,2018-01-04,2018-01-12,2018-07-13,2018-07-23,2020-07-22,5,5,2016,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,-1.1365094028935645,-1.5391360284400677,,-0.12569562037436122,101,28.55017009746378,-0.09247365177065592,-0.11296745954914755
5,2010-01-04,2020-01-07,2020-01-15,2020-07-15,2020-07-23,2022-07-22,5,5,2520,126,504,,"h006_beta_zscore,h006_momentum_deviation,h006_volatility_percentile,h006_correlation_extreme,h006_drawdown_recovery",h006_fixed_rule_cross_sectional,,,0,0.7063330621045989,1.0184054924856338,,-0.0321322949003372,105,31.85580076364872,0.10165330122049121,0.07393514113051913
