fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2012-01-03,2017-01-04,2017-01-12,2018-01-11,2018-01-22,2019-01-22,5,5,1260,252,252,0.8,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",gradient_boosting,0.504889281433348,0.26343994065688353,4,0.5566670037544657,1.1301223758097598,0.011319845303758846,-0.011657436394433618,15,2.940811301273457,0.013099197994632217,0.011319845303758846
2,2012-01-03,2018-01-04,2018-01-12,2019-01-14,2019-01-23,2020-01-22,5,5,1512,252,252,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",gradient_boosting,0.4380804953560372,0.25306340636394553,4,-0.4803055768172932,-0.6400990465770119,-0.032529266822441394,-0.09524201703561885,105,25.09107917366417,-0.017845252667846312,-0.032529266822441394
3,2012-01-03,2019-01-07,2019-01-15,2020-01-14,2020-01-23,2021-01-21,5,5,1764,252,252,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",gradient_boosting,0.4857378296146045,0.26368793435156757,4,-0.41786950986892785,-0.5408141290194899,-0.02891615784906376,-0.06781904888830725,100,21.998255945334144,-0.015997545183241035,-0.02891615784906376
4,2012-01-03,2020-01-07,2020-01-15,2021-01-13,2021-01-22,2022-01-20,5,5,2016,252,252,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",gradient_boosting,0.46643635902636926,0.2564416187296558,4,-1.3064182042499755,-1.575803543654831,-0.07842431484856793,-0.09233215857179289,93,14.169065605630951,-0.07054951601243165,-0.07842431484856793
5,2012-01-03,2021-01-06,2021-01-14,2022-01-12,2022-01-21,2023-01-23,5,5,2268,252,252,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",gradient_boosting,0.5062074234417776,0.24894558526528113,4,1.3037611038030805,2.4643968409409864,0.06405002080328814,-0.027142607882823522,69,13.652511332229682,0.07279586635279056,0.06405002080328814
6,2012-01-03,2022-01-05,2022-01-13,2023-01-13,2023-01-24,2024-01-24,5,5,2520,252,252,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",gradient_boosting,0.5325709231060846,0.2499260161165151,4,-1.4905731933549848,-1.4981129965342945,-0.024795215974754425,-0.027567015677788742,6,1.4771560807891757,-0.023930961672554152,-0.024795215974754425
7,2012-01-03,2023-01-06,2023-01-17,2024-01-17,2024-01-25,2025-01-27,5,5,2772,252,252,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",gradient_boosting,0.4577183370931356,0.24853793461343426,4,-0.9509396028417357,-1.2080351133907192,-0.04321564562791358,-0.059293529215039276,31,7.545111262685195,-0.03887702874530552,-0.04321564562791358
