fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2012-01-03,2017-01-04,2017-01-12,2018-01-11,2018-01-22,2019-01-22,5,5,1260,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.5045218821148495,0.2594721138643254,6,-0.0808530723658525,-0.11130856131666166,-0.005833371713407254,-0.06298220357463236,80,15.078831490948657,0.003194345565963319,-0.005833371713407254
2,2012-01-03,2018-01-04,2018-01-12,2019-01-14,2019-01-23,2020-01-22,5,5,1512,252,252,0.7,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.48453742203742206,0.2627756789525577,6,0.43366900177045703,0.5661380733573099,0.010919730848619968,-0.017715909725925183,18,4.365633519591703,0.013565357121856358,0.010919730848619968
3,2012-01-03,2019-01-07,2019-01-15,2020-01-14,2020-01-23,2021-01-21,5,5,1764,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.47270383499838864,0.2876842100202335,6,1.08476672184795,1.6588705969291342,0.049063857071171224,-0.02482845439680703,44,8.579758692972181,0.05447733076711714,0.049063857071171224
4,2012-01-03,2020-01-07,2020-01-15,2021-01-13,2021-01-22,2022-01-20,5,5,2016,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.4869337422528912,0.2567881084599645,6,1.950203041229075,3.509825650402775,0.07652603640910693,-0.01636448655692213,34,11.340549015721503,0.08387199053937255,0.07652603640910693
5,2012-01-03,2021-01-06,2021-01-14,2022-01-12,2022-01-21,2023-01-23,5,5,2268,252,252,0.7,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.4701088686572866,0.2748417443000105,6,0.30674710075750455,0.4180188981267031,0.012538654611775613,-0.03719834618128115,48,6.868964346095597,0.016717911852282663,0.012538654611775613
6,2012-01-03,2022-01-05,2022-01-13,2023-01-13,2023-01-24,2024-01-24,5,5,2520,252,252,0.7,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.517157490396927,0.24836145934260084,6,-1.1896111085290164,-1.4448356674203895,-0.04178985372615385,-0.047443075534047696,25,7.96286627195066,-0.03719704697832438,-0.04178985372615385
7,2012-01-03,2023-01-06,2023-01-17,2024-01-17,2024-01-25,2025-01-27,5,5,2772,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20",gradient_boosting,0.5050498468756109,0.24663046437687144,6,-0.46255538806648905,-0.6048144616748677,-0.016654423330675683,-0.0335291161966057,27,10.087943503802867,-0.010687172493693109,-0.016654423330675683
