fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2012-01-03,2017-01-04,2017-01-12,2018-01-11,2018-01-22,2019-01-22,5,5,1260,252,252,0.8,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.4898113683679262,0.295464298935404,7,-0.40672955568184416,-0.5560883482520717,-0.019359881160021963,-0.04763286538995071,35,10.233869214172834,-0.0133135118071952,-0.019359881160021963
2,2012-01-03,2018-01-04,2018-01-12,2019-01-14,2019-01-23,2020-01-22,5,5,1512,252,252,0.75,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5388892399064888,0.2520778550381117,7,,,0.0,0.0,0,0.0,0.0,0.0
3,2012-01-03,2019-01-07,2019-01-15,2020-01-14,2020-01-23,2021-01-21,5,5,1764,252,252,0.8,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.49930273833671396,0.26021037341646586,7,,,0.0,0.0,0,0.0,0.0,0.0
4,2012-01-03,2020-01-07,2020-01-15,2021-01-13,2021-01-22,2022-01-20,5,5,2016,252,252,0.8,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5091911764705883,0.262685709126904,7,,,0.0,0.0,0,0.0,0.0,0.0
5,2012-01-03,2021-01-06,2021-01-14,2022-01-12,2022-01-21,2023-01-23,5,5,2268,252,252,0.8,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5711466225249888,0.2445248416809887,7,,,0.0,0.0,0,0.0,0.0,0.0
6,2012-01-03,2022-01-05,2022-01-13,2023-01-13,2023-01-24,2024-01-24,5,5,2520,252,252,0.8,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5251784924496115,0.24966352189751648,7,,,0.0,0.0,0,0.0,0.0,0.0
7,2012-01-03,2023-01-06,2023-01-17,2024-01-17,2024-01-25,2025-01-27,5,5,2772,252,252,0.8,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,overnight_gap,intraday_return,day_range_position,rsi_14,bollinger_position_20,fifty_two_week_position,vol_of_vol_20,price_volume_corr_20,amihud_illiquidity_20,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5488881727360619,0.24410026621646244,7,,,0.0,0.0,0,0.0,0.0,0.0
