fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2012-01-03,2017-01-04,2017-01-12,2018-01-11,2018-01-22,2019-01-22,5,5,1260,252,252,0.55,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.5039210726030863,0.2593582162072868,7,-0.9018982433915691,-1.115596249860057,-0.07316954638155426,-0.12745743631348538,108,25.65067962389069,-0.058794500664569815,-0.07316954638155426
2,2012-01-03,2018-01-04,2018-01-12,2019-01-14,2019-01-23,2020-01-22,5,5,1512,252,252,0.7,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.47037422037422033,0.265027523071515,7,,,0.0,0.0,0,0.0,0.0,0.0
3,2012-01-03,2019-01-07,2019-01-15,2020-01-14,2020-01-23,2021-01-21,5,5,1764,252,252,0.55,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.4576216564614889,0.30341830566043265,7,0.2983641514777572,0.4168849992194627,0.01718448632672609,-0.04079751060685888,85,15.313565340992447,0.026581367616666407,0.01718448632672609
4,2012-01-03,2020-01-07,2020-01-15,2021-01-13,2021-01-22,2022-01-20,5,5,2016,252,252,0.7,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.5577279407066642,0.24727570548597697,7,1.8641080318152359,5.020147407728922,0.041687355221068145,-0.00926823309563829,14,4.7820765261344516,0.0446665668211359,0.041687355221068145
5,2012-01-03,2021-01-06,2021-01-14,2022-01-12,2022-01-21,2023-01-23,5,5,2268,252,252,0.65,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.4592220029286306,0.27957956163619196,7,-1.5536330371050027,-2.009906417618585,-0.07699880068161957,-0.11174747102419824,97,12.773537488266502,-0.069895981729302,-0.07699880068161957
6,2012-01-03,2022-01-05,2022-01-13,2023-01-13,2023-01-24,2024-01-24,5,5,2520,252,252,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.48040973111395646,0.24962720401272712,7,0.7848396898444907,1.2399191795107414,0.04210955680573791,-0.03276637002695271,104,30.318385666304472,0.06123280598028846,0.04210955680573791
7,2012-01-03,2023-01-06,2023-01-17,2024-01-17,2024-01-25,2025-01-27,5,5,2772,252,252,0.55,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol",gradient_boosting,0.5491627028083665,0.23945459813483147,7,0.8744925518615834,1.1597848621189468,0.06930189146557342,-0.04952133598640418,108,30.337607707909783,0.08892542401518311,0.06930189146557342
